ARO_ID	Gene_Name	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
ARO:3003843	leuO	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;nucleoside antibiotic	antibiotic efflux
ARO:3000216	acrB	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux
ARO:3004043	Ecol_acrA	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux
ARO:3007509	Sfle_acrA	resistance-nodulation-cell division (RND) antibiotic efflux pump	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic	antibiotic efflux
ARO:3000873	TEM-1	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000966	TEM-103	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3007454	TEM-245	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005265	TEM-234	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000901	TEM-31	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005259	TEM-228	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001392	TEM-215	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000968	TEM-105	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000942	TEM-76	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001385	TEM-208	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000936	TEM-70	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000989	TEM-127	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000999	TEM-135	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001006	TEM-143	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001046	TEM-186	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001394	TEM-217	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000900	TEM-30	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000962	TEM-95	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000990	TEM-128	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000903	TEM-33	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001391	TEM-214	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001032	TEM-166	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001015	TEM-148	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001041	TEM-176	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001384	TEM-207	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001383	TEM-206	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001057	TEM-198	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000904	TEM-34	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3007448	TEM-246	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001387	TEM-210	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000907	TEM-37	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000906	TEM-36	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000905	TEM-35	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005261	TEM-230	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005263	TEM-232	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3003158	TEM-220	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001376	TEM-196	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000926	TEM-57	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001030	TEM-164	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001393	TEM-216	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000886	TEM-15	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001004	TEM-141	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000967	TEM-104	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001007	TEM-144	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000946	TEM-79	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000898	TEM-28	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001386	TEM-209	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000924	TEM-55	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000882	TEM-10	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3001378	TEM-201	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000969	TEM-106	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000984	TEM-122	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3000988	TEM-126	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005272	TEM-242	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
ARO:3005266	TEM-235	TEM beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic inactivation
